tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
636,57.24110000003446,57.89039999956414,3.3,0.029,0.5,1.3,0.8,1.2,12.868660495049134
637,47.8041,79.298399999851,6.9,0.072,1.15,2.6,3.6,11.7,14.306556237578992
638,24.055100000047496,10.970399999638646,9.3,0.121,3.775,2.4,36.6,99.7,7.747586979143215
639,56.14410000008382,67.71739999961257,3.9,0.071,0.625,1.6,1.1,2.3,15.561605285389188
640,46.1791,44.80439999990314,3,0.069,0.65,2.9,1.1,1.3,8.758865351276988
641,63.12210000008661,78.64939999964236,12,0.15,3.0250000000000004,3.6,24.9,95.9,11.404030986099103
642,58.03710000000745,69.07239999959394,3.6,0.062,0.925,1.8,2.1,3.7,12.596179580376388
643,45.3271000000447,61.233399999906865,10.5,0.094,0.875,3.4,2.1,7.6,15.413385004068749
644,76.83010000007079,44.73039999988079,4.9,0.049,1.125,2.7,3.4,4.7,10.947434075581864
645,52.6681000000596,66.80039999971315,5.1,0.064,1.4,2.2,5,11.6,12.495023421650888
646,70.40110000006706,57.436399999653545,4.4,0.05,1.925,1.1,8.9,16.1,12.995309579659606
647,47.56110000009965,67.63839999970197,16.6,0.174,2,9.9,13.5,47.6,12.71286671308311
648,38.87210000008661,66.67639999987706,15.4,0.158,3.025,8.1,24.3,112.3,10.95672687171775
649,83.50009999999628,46.77439999964237,17.2,0.327,3.85,8.3,37.1,161.8,12.019832783116936
650,24.979100000046564,51.013399999701974,11.1,0,4,8.3,43,134.3,8.18294049461612
651,55.03710000000745,75.29639999952316,5.7,0.141,1.15,2.3,3.8,10.2,12.454888099267944
652,45.67110000008568,65.73039999988079,5,0.072,0.825,2.1,2,4.1,14.262650259641434
653,72.67010000003819,37.934399999791374,14.6,0.13,4.05,7.9,43.8,100.1,10.813581215190158
654,46.62310000001769,35.087399999724326,14,0.051,2.75,4.2,19.6,64.8,9.226018236932608
655,69.96210000005402,88.20139999978392,5.2,0.068,5.275,2.8,81.2,249.4,9.99653593359838
656,59.98310000000372,52.328399999646095,12.3,0.076,1.475,2.8,6.7,21.5,11.7658286817337
657,54.26610000005774,66.73339999990687,4.4,0.199,0.975,1.7,2.5,4.7,10.09081392041122
658,45.934100000004655,66.38339999981373,4.4,0.063,0.8,1.4,1.6,3.1,14.02934964889224
659,59.742100000081955,39.67039999982491,18.8,0.286,4.85,10.4,59.3,247.2,9.502065930097686
660,49.850100000089405,74.51539999956414,15.2,0.175,2.1500000000000004,10.5,14.8,51.3,13.58448673415234
661,51.86610000003446,73.85439999971688,4.5,0.044,0.825,2.1,1.7,3.2,11.926327763052312
662,64.76310000003167,62.30139999987706,7.7,0.159,2.25,2.7,13.8,44.7,10.303293529039786
663,56.32310000008754,60.80539999960139,5.5,0.055,1.3,1.6,4.4,10.2,11.06835785145681
664,15.95510000007078,37.84439999947473,10.1,0,6.324999999999999,3.3,84.2,261.4,8.001542677263254
665,45.7141000000326,85.53939999977275,4.4,0.064,2.375,1.7,16.3,48.3,9.171300628
666,43.49810000001769,46.06239999981746,9.1,0.128,2.075,5.5,10.8,27.2,9.80034002449264
667,61.777099999998136,65.75039999989941,3.8,0.138,0.675,3.8,1.3,2.2,12.410547274110046
668,51.434100000004655,76.52539999980628,4.7,0,0.825,5,1.9,3.1,12.346891733963844
669,35.0211000000624,37.70439999981001,11.1,0.1,1.3250000000000002,6.8,4.6,9.9,13.078082374241466
670,44.77910000009313,67.14339999959022,7.2,0.059,0.95,2,2.8,6.1,15.256369410919204
671,53.303100000068916,72.54339999949708,4.4,0.064,0.575,2.6,1,1.7,13.430319768038036
672,45.307100000026075,60.76539999956414,5.9,0.069,0.625,2.6,1,2.5,14.730803108910203
673,76.66010000002888,67.79139999963492,7.5,0.366,2.925,2.2,25.6,88.1,9.306606542190536
674,33.63810000003167,48.50239999976158,11.7,0.153,2.55,7.4,18.2,49.5,10.075415177549756
675,66.55010000004285,82.82439999992175,1.7,0.1,0.5,1.6,0.5,0.5,6.07532092075489
